"Tag Code","Mark File Name","Mark Date MMDDYYYY","Mark Site Name","Release Date MMDDYYYY","Release Site Name","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Recap Date MMDDYYYY","Recap File Name","Recap Release Date MMDDYYYY","Recap Release Site Name","Recap Site Name","Recap Species Code","Recap Species Name","Recap Run Code","Recap Run Name","Recap Rear Type Code","Recap Rear Type Name","Recap Length mm","Recap Weight g","Recap Count"
"384.1B7975922E","ILR-2020-288-HYD.xml","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","10/15/2020","ILR-2020-289-HYD.xml","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B79759254","ILR-2020-312-HYD.xml","11/7/2020","HYDTRP - Hayden Creek Rotary Screw Trap","11/7/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","11/8/2020","ILR-2020-313-HYD.xml","11/8/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B79759564","ILR-2022-135-HYD.xml","5/15/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/15/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/16/2022","ILR-2022-136-HYD.xml","5/16/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","63","4.2","1"
"384.1B79759605","ILR-2020-292-HYD.xml","10/18/2020","HYDTRP - Hayden Creek Rotary Screw Trap","10/18/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","11/9/2020","ILR-2020-314-HYD.xml","11/9/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","69","3.8","1"
"384.1B79759785","ILR-2020-303-HYD.xml","10/29/2020","HYDTRP - Hayden Creek Rotary Screw Trap","10/29/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","10/30/2020","ILR-2020-304-HYD.xml","10/30/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B797598F3","ILR-2020-308-HYD.xml","11/3/2020","HYDTRP - Hayden Creek Rotary Screw Trap","11/3/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","11/4/2020","ILR-2020-309-HYD.xml","11/4/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B7975991C","ILR-2022-143-LEM.xml","5/23/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","5/23/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/24/2022","ILR-2022-144-LEM.xml","5/24/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","66","3.4","1"
"384.1B79759B74","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/8/2022","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","75","4.9","1"
"384.1B79759BA5","ILR-2022-127-HYD.xml","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/7/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/8/2022","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","68","3.3","1"
"384.1B79759CC7","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/9/2022","ILR-2022-129-HYD.xml","5/9/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","79","5","1"
