tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003D7FEEF1,HRSC-OUT,4,Observation,1,2022-03-20T07:25:32Z,2022-03-20T07:25:32Z,0,210,0.058333333333333334,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FEF44,HRSC-MID,2,Observation,4,2021-09-15T23:59:56Z,2021-09-16T00:53:20Z,3204,117377,32.60472222222222,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FEF66,HRSC-OUT,4,Observation,1,2022-06-29T13:34:54Z,2022-06-29T13:34:54Z,0,364,0.10111111111111111,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FEFDB,HRSC-MID,7,Observation,4,2021-09-29T21:10:31Z,2021-09-29T21:38:57Z,1706,5382,1.495,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FEFF0,HRSC-MID,4,Observation,569,2022-06-17T17:05:11Z,2022-06-17T17:11:10Z,359,3010480,836.2444444444444,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FEFFA,HRSC-MID,5,Observation,21,2022-07-17T03:33:06Z,2022-07-30T00:04:31Z,1110685,2545879,707.1886111111111,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FF088,HRSC-OUT,2,Observation,1,2021-10-01T18:32:22Z,2021-10-01T18:32:22Z,0,426062,118.35055555555556,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF0C1,HRSC-MID,2,Observation,2,2021-09-29T23:08:52Z,2021-09-29T23:40:58Z,1926,457795,127.16527777777777,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FF11B,HRSC-MID,3,Observation,1,2021-10-12T07:51:41Z,2021-10-12T07:51:41Z,0,7204,2.0011111111111113,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FF134,HRSC-OUT,2,Observation,1,2021-10-01T18:32:24Z,2021-10-01T18:32:24Z,0,430432,119.56444444444445,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF535,HRSC-OUT,5,Observation,1,2022-03-20T20:56:21Z,2022-03-20T20:56:21Z,0,440,0.12222222222222222,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF54D,HRSC-MID,4,Observation,1,2021-12-15T04:40:07Z,2021-12-15T04:40:07Z,0,429,0.11916666666666667,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FF553,HRSC-OUT,5,Observation,1,2022-07-02T01:52:11Z,2022-07-02T01:52:11Z,0,213,0.059166666666666666,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF556,HRSC-MID,2,Observation,2,2021-10-08T18:28:49Z,2021-10-08T21:28:34Z,10785,779926,216.6461111111111,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FF569,HRSC-MID,7,Observation,1,2021-10-03T22:13:54Z,2021-10-03T22:13:54Z,0,7129,1.9802777777777778,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FF59D,HRSC-OUT,11,Observation,32,2022-05-05T04:54:32Z,2022-05-05T04:54:34Z,2,857,0.23805555555555555,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF5A4,HRSC-OUT,2,Observation,1,2021-10-01T20:36:44Z,2021-10-01T20:36:44Z,0,29710,8.252777777777778,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF5A5,HRSC-MID,7,Observation,6244,2022-07-01T07:45:13Z,2022-07-16T14:26:46Z,1320093,2917227,810.3408333333333,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FF620,HRSC-OUT,2,Observation,1,2021-10-02T22:58:14Z,2021-10-02T22:58:14Z,0,26683,7.411944444444444,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF636,HRSC-OUT,2,Observation,1,2021-10-02T21:06:06Z,2021-10-02T21:06:06Z,0,21949,6.0969444444444445,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF653,HRSC-OUT,4,Observation,1,2022-01-19T01:25:39Z,2022-01-19T01:25:39Z,0,572,0.15888888888888889,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
