tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003D57FAB3,HRSC-OUT,2,Observation,1,2022-06-24T14:29:29Z,2022-06-24T14:29:29Z,0,20828239,5785.621944444444,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FAB3,HRSC-OUT,3,Observation,28,2022-06-24T16:09:59Z,2022-06-24T16:10:00Z,1,6030,1.675,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FB16,HRSC-OUT,2,Observation,1,2021-10-20T07:21:54Z,2021-10-20T07:21:54Z,0,163216,45.33777777777778,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FB18,HRSC-OUT,2,Observation,1,2021-11-10T19:18:05Z,2021-11-10T19:18:05Z,0,2088437,580.1213888888889,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FB85,HRSC-MID,7,Observation,2,2021-11-08T10:21:56Z,2021-11-08T10:30:31Z,515,67302,18.695,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,9,Observation,1,2021-11-08T14:41:36Z,2021-11-08T14:41:36Z,0,79,0.021944444444444444,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,10,Observation,1,2021-11-08T15:08:04Z,2021-11-08T15:08:04Z,0,1588,0.4411111111111111,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,12,Observation,3,2021-11-09T06:24:51Z,2021-11-09T07:31:15Z,3984,47,0.013055555555555556,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,13,Observation,2,2021-11-09T07:41:25Z,2021-11-09T08:02:12Z,1247,610,0.16944444444444445,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,14,Observation,2,2021-11-09T08:04:05Z,2021-11-09T08:15:17Z,672,113,0.03138888888888889,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,20,Observation,1,2021-11-09T15:30:27Z,2021-11-09T15:30:27Z,0,39,0.010833333333333334,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,21,Observation,1,2021-11-09T15:36:19Z,2021-11-09T15:36:19Z,0,352,0.09777777777777778,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,23,Observation,2,2021-11-13T14:57:23Z,2021-11-13T15:02:00Z,277,256950,71.375,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-MID,24,Observation,1,2021-11-13T15:05:30Z,2021-11-13T15:05:30Z,0,210,0.058333333333333334,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FB85,HRSC-OUT,22,Observation,3,2021-11-10T07:33:47Z,2021-11-10T15:34:53Z,28866,57448,15.957777777777778,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57FB85,HRSC-OUT,25,Observation,1,2021-11-14T07:24:20Z,2021-11-14T07:24:20Z,0,58730,16.31388888888889,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
