site,tag,detected,reader,antenna
0HR,3E7.0000001D02,9/24/2022 14:37,1,2
0HR,3E7.0000001D01,9/24/2022 14:37,1,1
0HR,3E7.0000001D03,9/24/2022 14:37,1,3
0HR,3E7.0000001D03,9/24/2022 13:37,1,3
0HR,3E7.0000001D02,9/24/2022 13:37,1,2
0HR,3E7.0000001D01,9/24/2022 13:37,1,1
0HR,3E7.0000001D01,9/24/2022 12:37,1,1
0HR,3E7.0000001D03,9/24/2022 12:37,1,3
0HR,3E7.0000001D02,9/24/2022 12:37,1,2
0HR,3E7.0000001D02,9/24/2022 11:37,1,2
0HR,3E7.0000001D01,9/24/2022 11:37,1,1
0HR,3E7.0000001D03,9/24/2022 11:37,1,3
0HR,3E7.0000001D03,9/24/2022 10:37,1,3
0HR,3E7.0000001D02,9/24/2022 10:37,1,2
0HR,3E7.0000001D01,9/24/2022 10:37,1,1
0HR,3E7.0000001D03,9/24/2022 9:37,1,3
0HR,3E7.0000001D02,9/24/2022 9:37,1,2
0HR,3E7.0000001D01,9/24/2022 9:37,1,1
0HR,3E7.0000001D02,9/24/2022 8:37,1,2
0HR,3E7.0000001D01,9/24/2022 8:37,1,1
0HR,3E7.0000001D03,9/24/2022 8:37,1,3
0HR,3E7.0000001D03,9/24/2022 7:37,1,3
0HR,3E7.0000001D02,9/24/2022 7:37,1,2
0HR,3E7.0000001D01,9/24/2022 7:37,1,1
0HR,3E7.0000001D03,9/24/2022 6:37,1,3
0HR,3E7.0000001D02,9/24/2022 6:37,1,2
0HR,3E7.0000001D01,9/24/2022 6:37,1,1
0HR,3E7.0000001D01,9/24/2022 5:37,1,1
0HR,3E7.0000001D03,9/24/2022 5:37,1,3
0HR,3E7.0000001D02,9/24/2022 5:37,1,2
0HR,3E7.0000001D01,9/24/2022 4:37,1,1
0HR,3E7.0000001D03,9/24/2022 4:37,1,3
0HR,3E7.0000001D02,9/24/2022 4:37,1,2
0HR,3DD.003DA41515,9/24/2022 4:05,1,2
0HR,3E7.0000001D02,9/24/2022 3:37,1,2
0HR,3E7.0000001D01,9/24/2022 3:37,1,1
0HR,3E7.0000001D03,9/24/2022 3:37,1,3
0HR,3DD.003DA41613,9/24/2022 2:38,1,2
0HR,3E7.0000001D01,9/24/2022 2:37,1,1
0HR,3E7.0000001D03,9/24/2022 2:37,1,3
0HR,3E7.0000001D02,9/24/2022 2:37,1,2
0HR,3E7.0000001D03,9/24/2022 1:37,1,3
0HR,3E7.0000001D02,9/24/2022 1:37,1,2
0HR,3E7.0000001D01,9/24/2022 1:37,1,1
0HR,3DD.003DE66934,9/24/2022 0:41,1,2
0HR,3E7.0000001D03,9/24/2022 0:37,1,3
0HR,3E7.0000001D02,9/24/2022 0:37,1,2
0HR,3E7.0000001D01,9/24/2022 0:37,1,1
0HR,3E7.0000001D03,9/23/2022 23:37,1,3
0HR,3E7.0000001D02,9/23/2022 23:37,1,2
